id,titulo,comuna,hometype,precio_uf,currency,latitude,longitude,url_canonical,NSE
1138111,PARQUE CANTILLANA,Paine,casa,2240,UF,-33.875198,-70.935402,https://chile.estateathome.com/homedetails/1821497927935529/PARQUE-CANTILLANA-Rm-metropolitana-Paine,C3
1137124,"ISLA NEGRA 279, Paine",Paine,casa,1742,UF,-33.817879,-70.739647,https://chile.estateathome.com/homedetails/1199655944080698/ISLA-NEGRA-279-Rm-metropolitana-Paine,C3
1135072,"Aculeo 2000, Paine",Paine,casa,2544,UF,-33.858601,-70.926750,https://chile.estateathome.com/homedetails/1892882583086394/Aculeo-2000-Rm-metropolitana-Paine,C2
1131948,Arrecife,Paine,casa,3621,UF,-33.808201,-70.736397,https://chile.estateathome.com/homedetails/9261214988247838/Arrecife-Rm-metropolitana-Paine,C2
1129857,"GENERAL BAQUEDANO 334, Paine",Paine,casa,5054,UF,-33.800400,-70.741035,https://chile.estateathome.com/homedetails/1652653359242501/GENERAL-BAQUEDANO-334-Rm-metropolitana-Paine,ABC1
1130103,Hotel Boutique // Bahía Catalina (50),Paine,casa,11000,UF,-33.847000,-70.908096,https://chile.estateathome.com/homedetails/1572153291070169/Hotel-Boutique-Bahia-Catalina-50-Rm-metropolitana-Paine,ABC1
1133360,Atractiva Parcela de Agrado en excelente sector de Paine,Paine,casa,6448,UF,-33.853600,-70.734497,https://chile.estateathome.com/homedetails/7470262671865441/Atractiva-Parcela-de-Agrado-en-excelente-sector-de-Paine-Rm-metropolitana-Paine,ABC1
1127279,"Villa Las Américas 123, Paine",Paine,casa,1568,UF,-33.821129,-70.741135,https://chile.estateathome.com/homedetails/8753587018471110/Villa-Las-Americas-123-Rm-metropolitana-Paine,D
1122397,Camino San Roberto,Paine,casa,8540,UF,-33.859798,-70.861900,https://chile.estateathome.com/homedetails/1323067518047905/Camino-San-Roberto-Rm-metropolitana-Paine,ABC1
1114166,Caletera 5 sur,Paine,casa,9420,UF,-33.785999,-70.746101,https://chile.estateathome.com/homedetails/5444041228149390/Caletera-5-sur-Rm-metropolitana-Paine,ABC1
1121655,Vista en Lomas del Aguila,Paine,casa,10900,UF,-33.859200,-70.785103,https://chile.estateathome.com/homedetails/6296025720843518/Vista-en-Lomas-del-Aguila-Rm-metropolitana-Paine,ABC1
1114092,"Tranquilidad, El Escorial, Huelquén",Paine,casa,6800,UF,-33.855202,-70.605003,https://chile.estateathome.com/homedetails/1618427097815369/Tranquilidad-El-Escorial-Huelquen-Rm-metropolitana-Paine,ABC1
1122573,PARQUE CANTILLANA,Paine,casa,3990,UF,-33.849499,-70.953102,https://chile.estateathome.com/homedetails/3475419691066469/PARQUE-CANTILLANA-Rm-metropolitana-Paine,C2
1111261,HUERTOS DEL RANGUE,Paine,casa,6450,UF,-33.813999,-70.746803,https://chile.estateathome.com/homedetails/1350988501614213/HUERTOS-DEL-RANGUE-Rm-metropolitana-Paine,ABC1
1146009,Cerro el Plomo,Paine,casa,1306,UF,-33.821499,-70.736397,https://chile.estateathome.com/homedetails/8288032295182414/Cerro-el-Plomo-Rm-metropolitana-Paine,D
1103923,"jorge alessandri 157, Paine",Paine,casa,3311,UF,-33.853970,-70.760994,https://chile.estateathome.com/homedetails/1347703078359314/jorge-alessandri-157-Rm-metropolitana-Paine,C2
1101087,VENTA DE CASA EN PAINE,Paine,casa,5577,UF,-33.821171,-70.734299,https://chile.estateathome.com/homedetails/6945236173048483/avenida-del-villar-parcela-7-lote-c5-c5-7-Rm-metropolitana-Paine,ABC1
1099903,"Oportunidad en Las Camelias, Paine",Paine,casa,10000,UF,-33.850899,-70.764099,https://chile.estateathome.com/homedetails/4963267392312472/Oportunidad-en-Las-Camelias-Paine-Rm-metropolitana-Paine,ABC1
1098255,"Casa 80/110 m2 4d/2b, a 40 min del Centro de Santiago en Paine",Paine,casa,2265,UF,-33.807007,-70.741051,https://chile.estateathome.com/homedetails/1690486193944070/SANTA-MARIA-63-Rm-metropolitana-Paine,C3
1097141,Parque nacional Isluga,Paine,casa,1669,UF,-33.819599,-70.738197,https://chile.estateathome.com/homedetails/6012839078989575/Parque-nacional-Isluga-Rm-metropolitana-Paine,C3
1095067,Casa en Villa Los Lagos,Paine,casa,3200,UF,-33.811501,-70.735397,https://chile.estateathome.com/homedetails/1096276963883311/Casa-en-Villa-Los-Lagos-Rm-metropolitana-Paine,C2
1094572,"el vinculo 305 ,paine 305, Paine",Paine,casa,6274,UF,-33.845417,-70.791512,https://chile.estateathome.com/homedetails/5408364329973822/el-vinculo-305-paine-305-Rm-metropolitana-Paine,ABC1
1094132,Espaciosa y cómoda propiedad Parcelación La Trilla Paine,Paine,casa,7665,UF,-33.797894,-70.727966,https://chile.estateathome.com/homedetails/1281262378145285/Los-Alamos-s-n-Rm-metropolitana-Paine,ABC1
1094307,"el vinculo 305, Paine",Paine,casa,6274,UF,-33.841572,-70.801567,https://chile.estateathome.com/homedetails/9215995909315242/el-vinculo-305-Rm-metropolitana-Paine,ABC1
1134865,ACULEO- EL BELLOTO,Paine,casa,3200,UF,-33.832600,-70.949898,https://chile.estateathome.com/homedetails/7667752587081347/ACULEO-EL-BELLOTO-Rm-metropolitana-Paine,C2
1092875,AV. ROMERO,Paine,casa,10736,UF,-33.861301,-70.720802,https://chile.estateathome.com/homedetails/1615198623676364/AV.-ROMERO-Rm-metropolitana-Paine,ABC1
1082597,VENTA DE CASA EN VILLA LA CONCEPCIÓN COMUNA DE PAINE,Paine,casa,1533,UF,-33.807461,-70.731087,https://chile.estateathome.com/homedetails/3686084220462306/LIRQUEN-439-Rm-metropolitana-Paine,D
1081342,"Vendo Casa en Paine, 6 dormitorios",Paine,casa,2440,UF,-33.807007,-70.736397,https://chile.estateathome.com/homedetails/2401584467666140/Pasaje-isla-lenox-379-Rm-metropolitana-Paine,C2
1078981,"BUIN 1625, Paine",Paine,casa,2091,UF,-33.821297,-70.737984,https://chile.estateathome.com/homedetails/1771269892214044/BUIN-1625-Rm-metropolitana-Paine,C3
1077244,HACIENDA EL BELLOTO,Paine,casa,3067,UF,-33.840199,-70.969299,https://chile.estateathome.com/homedetails/1400740730976758/HACIENDA-EL-BELLOTO-Rm-metropolitana-Paine,C2
1128512,Vendo Casa en Villa America,Paine,casa,1742,UF,-33.817936,-70.739647,https://chile.estateathome.com/homedetails/1611387092924302/Pasaje-Isla-Negra-279-Rm-metropolitana-Paine,C3
1074057,"Pasaje lastra #1102, Paine",Paine,casa,3032,UF,-33.808163,-70.736374,https://chile.estateathome.com/homedetails/1486725875423018/Pasaje-lastra-1102-Rm-metropolitana-Paine,C2
1073512,"Jaimem Atria 10709, Paine",Paine,casa,1917,UF,-33.833145,-70.647682,https://chile.estateathome.com/homedetails/3453508193775053/Jaimem-Atria-10709-Rm-metropolitana-Paine,C3
1071171,Condominio Los Hornos de Aculeo,Paine,casa,11000,UF,-33.858799,-70.913300,https://chile.estateathome.com/homedetails/5440236716995531/Condominio-Los-Hornos-de-Aculeo-Rm-metropolitana-Paine,ABC1
1071930,Casa en Villa Los Lagos,Paine,casa,3200,UF,-33.811501,-70.735397,https://chile.estateathome.com/homedetails/1178493345021553/Casa-en-Villa-Los-Lagos-Rm-metropolitana-Paine,C2
1069933,"Los Héroes con San Vicente, Paine",Paine,casa,2200,UF,-33.819401,-70.734596,https://chile.estateathome.com/homedetails/5671293995991907/Los-Heroes-con-San-Vicente-Paine-Rm-metropolitana-Paine,C3
1068145,Machali - Nogales,Paine,departamento,11500,UF,-33.796799,-70.653000,https://chile.estateathome.com/homedetails/8709704142161305/Machali-Nogales-Rm-metropolitana-Paine,ABC1
1068147,Machali - Nogales,Paine,casa,11500,UF,-33.796799,-70.653000,https://chile.estateathome.com/homedetails/1808993472447443/Machali-Nogales-Rm-metropolitana-Paine,ABC1
1060699,Casa en El Escorial,Paine,casa,6800,UF,-33.808163,-70.736374,https://chile.estateathome.com/homedetails/1586886695736976/El-Escorial-Rm-metropolitana-Paine,ABC1
1058511,Casa chilena,Paine,casa,9480,UF,-33.847900,-70.646797,https://chile.estateathome.com/homedetails/8069532830969483/Casa-chilena-Rm-metropolitana-Paine,ABC1
